user_id,category,amount,is_recurring,expense_date
user_0001,Rent,1518.2,True,2022-06-02
user_0001,Internet,383.97,True,2022-06-04
user_0001,Phone,217.06,True,2022-06-05
user_0001,Electricity,220.12,True,2022-06-06
user_0001,Other,195.31,False,2022-06-10
user_0001,Clothes,696.45,False,2022-06-19
user_0001,Food,560.54,False,2022-06-02
user_0001,Food,459.69,False,2022-06-17
user_0001,Medical,135.02,False,2022-06-17
user_0001,Transport,624.19,False,2022-06-03
user_0001,Transport,515.74,False,2022-06-08
user_0001,Subscription,173.82,False,2022-06-29
user_0001,Rent,1650.03,True,2022-07-06
user_0001,Internet,356.62,True,2022-07-06
user_0001,Phone,183.28,True,2022-07-06
user_0001,Electricity,233.0,True,2022-07-04
user_0001,Clothes,512.36,False,2022-07-11
user_0001,Clothes,263.54,False,2022-07-05
user_0001,Entertainment,381.52,False,2022-07-25
user_0001,Transport,105.74,False,2022-07-20
user_0001,Transport,145.11,False,2022-07-07
user_0001,Rent,1629.27,True,2022-08-02
user_0001,Internet,380.33,True,2022-08-01
user_0001,Phone,215.17,True,2022-08-03
user_0001,Electricity,220.11,True,2022-08-04
user_0001,Entertainment,476.62,False,2022-08-25
user_0001,Food,511.22,False,2022-08-17
user_0001,Entertainment,673.7,False,2022-08-03
user_0001,Medical,262.84,False,2022-08-28
user_0001,Transport,557.12,False,2022-08-04
user_0001,Entertainment,273.48,False,2022-08-06
user_0001,Education,225.36,False,2022-08-20
user_0001,Rent,1742.21,True,2022-09-04
user_0001,Internet,349.2,True,2022-08-31
user_0001,Phone,183.69,True,2022-09-03
user_0001,Electricity,245.15,True,2022-08-31
user_0001,Education,574.79,False,2022-09-19
user_0001,Entertainment,199.49,False,2022-09-13
user_0001,Subscription,445.36,False,2022-09-02
user_0001,Rent,1489.1,True,2022-10-01
user_0001,Internet,353.19,True,2022-10-02
user_0001,Phone,203.3,True,2022-10-01
user_0001,Electricity,226.77,True,2022-09-30
user_0001,Education,653.52,False,2022-10-24
user_0001,Food,653.49,False,2022-10-05
user_0001,Clothes,510.64,False,2022-10-10
user_0001,Subscription,699.61,False,2022-10-22
user_0001,Medical,670.01,False,2022-10-06
user_0001,Rent,1746.02,True,2022-10-31
user_0001,Internet,376.7,True,2022-10-30
user_0001,Phone,187.17,True,2022-11-01
user_0001,Electricity,242.99,True,2022-11-02
user_0001,Clothes,264.28,False,2022-11-23
user_0001,Transport,335.54,False,2022-10-30
user_0001,Other,236.96,False,2022-11-24
user_0001,Other,315.29,False,2022-11-24
user_0001,Clothes,237.26,False,2022-11-19
user_0001,Clothes,345.34,False,2022-11-06
user_0001,Transport,695.33,False,2022-11-06
user_0001,Education,494.97,False,2022-11-10
user_0001,Rent,1685.78,True,2022-12-03
user_0001,Internet,338.18,True,2022-11-29
user_0001,Phone,184.61,True,2022-12-01
user_0001,Electricity,215.21,True,2022-12-01
user_0001,Transport,467.32,False,2022-12-09
user_0001,Education,368.7,False,2022-12-14
user_0001,Transport,337.17,False,2022-12-16
user_0001,Rent,1526.48,True,2022-12-29
user_0001,Internet,364.61,True,2022-12-29
user_0001,Phone,200.8,True,2023-01-02
user_0001,Electricity,238.6,True,2022-12-30
user_0001,Subscription,143.08,False,2023-01-18
user_0001,Education,483.69,False,2023-01-18
user_0001,Transport,543.17,False,2023-01-06
user_0001,Entertainment,510.62,False,2023-01-07
user_0001,Subscription,529.29,False,2023-01-14
user_0001,Rent,1506.04,True,2023-01-31
user_0001,Internet,361.55,True,2023-01-31
user_0001,Phone,207.09,True,2023-01-29
user_0001,Electricity,235.31,True,2023-01-30
user_0001,Food,287.1,False,2023-02-02
user_0001,Subscription,583.81,False,2023-02-15
